lh_L_V1_ROI_thickness
lh_L_MST_ROI_thickness
lh_L_V6_ROI_thickness
lh_L_V2_ROI_thickness
lh_L_V3_ROI_thickness
lh_L_V4_ROI_thickness
lh_L_V8_ROI_thickness
lh_L_4_ROI_thickness
lh_L_3b_ROI_thickness
lh_L_FEF_ROI_thickness
lh_L_PEF_ROI_thickness
lh_L_55b_ROI_thickness
lh_L_V3A_ROI_thickness
lh_L_RSC_ROI_thickness
lh_L_POS2_ROI_thickness
lh_L_V7_ROI_thickness
lh_L_IPS1_ROI_thickness
lh_L_FFC_ROI_thickness
lh_L_V3B_ROI_thickness
lh_L_LO1_ROI_thickness
lh_L_LO2_ROI_thickness
lh_L_PIT_ROI_thickness
lh_L_MT_ROI_thickness
lh_L_A1_ROI_thickness
lh_L_PSL_ROI_thickness
lh_L_SFL_ROI_thickness
lh_L_PCV_ROI_thickness
lh_L_STV_ROI_thickness
lh_L_7Pm_ROI_thickness
lh_L_7m_ROI_thickness
lh_L_POS1_ROI_thickness
lh_L_23d_ROI_thickness
lh_L_v23ab_ROI_thickness
lh_L_d23ab_ROI_thickness
lh_L_31pv_ROI_thickness
lh_L_5m_ROI_thickness
lh_L_5mv_ROI_thickness
lh_L_23c_ROI_thickness
lh_L_5L_ROI_thickness
lh_L_24dd_ROI_thickness
lh_L_24dv_ROI_thickness
lh_L_7AL_ROI_thickness
lh_L_SCEF_ROI_thickness
lh_L_6ma_ROI_thickness
lh_L_7Am_ROI_thickness
lh_L_7PL_ROI_thickness
lh_L_7PC_ROI_thickness
lh_L_LIPv_ROI_thickness
lh_L_VIP_ROI_thickness
lh_L_MIP_ROI_thickness
lh_L_1_ROI_thickness
lh_L_2_ROI_thickness
lh_L_3a_ROI_thickness
lh_L_6d_ROI_thickness
lh_L_6mp_ROI_thickness
lh_L_6v_ROI_thickness
lh_L_p24pr_ROI_thickness
lh_L_33pr_ROI_thickness
lh_L_a24pr_ROI_thickness
lh_L_p32pr_ROI_thickness
lh_L_a24_ROI_thickness
lh_L_d32_ROI_thickness
lh_L_8BM_ROI_thickness
lh_L_p32_ROI_thickness
lh_L_10r_ROI_thickness
lh_L_47m_ROI_thickness
lh_L_8Av_ROI_thickness
lh_L_8Ad_ROI_thickness
lh_L_9m_ROI_thickness
lh_L_8BL_ROI_thickness
lh_L_9p_ROI_thickness
lh_L_10d_ROI_thickness
lh_L_8C_ROI_thickness
lh_L_44_ROI_thickness
lh_L_45_ROI_thickness
lh_L_47l_ROI_thickness
lh_L_a47r_ROI_thickness
lh_L_6r_ROI_thickness
lh_L_IFJa_ROI_thickness
lh_L_IFJp_ROI_thickness
lh_L_IFSp_ROI_thickness
lh_L_IFSa_ROI_thickness
lh_L_p9.46v_ROI_thickness
lh_L_46_ROI_thickness
lh_L_a9.46v_ROI_thickness
lh_L_9.46d_ROI_thickness
lh_L_9a_ROI_thickness
lh_L_10v_ROI_thickness
lh_L_a10p_ROI_thickness
lh_L_10pp_ROI_thickness
lh_L_11l_ROI_thickness
lh_L_13l_ROI_thickness
lh_L_OFC_ROI_thickness
lh_L_47s_ROI_thickness
lh_L_LIPd_ROI_thickness
lh_L_6a_ROI_thickness
lh_L_i6.8_ROI_thickness
lh_L_s6.8_ROI_thickness
lh_L_43_ROI_thickness
lh_L_OP4_ROI_thickness
lh_L_OP1_ROI_thickness
lh_L_OP2.3_ROI_thickness
